,postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
2354,6393,21,75,28,80,80,0,0,21,0,0,5298,"33,906",7.4,15728,CORDERING,WA,116.85396,-33.538228,WILLIAMS LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.512098,116.675354,50903125015,50903125015,509031250,Wagin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,3,3,5,5,O Connor,246.8482361,W2,PHN503,Country WA,West Arthur,58890,Durack,
2355,6394,35,218,15.1,360,161,199,0,33,2,0,26346,"168,616",37,15732,BEAUFORT RIVER,WA,116.972036,-33.83319,KOJONUP LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.5882778,117.0461201,50901123010,50901123010,509011230,Katanning,50901,Albany,509,Western Australia - Wheat Belt,3,3,5,5,O Connor,263.2080994,W2,PHN503,Country WA,Kojonup,54550,Durack,
2356,6395,233,755,28.2,1313,878,435,0,213,20,0,45231,"289,480",63.6,11046,CHERRY TREE POOL,WA,117.065276,-33.885153,KOJONUP LPO,Delivery Area,Updated 6-Feb-2020,50901,Albany,509,Western Australia - Wheat Belt,R3,-33.7940495,117.27861,50901123110,50901123110,509011231,Kojonup,50901,Albany,509,Western Australia - Wheat Belt,3,3,5,5,O Connor,281.4958801,W2,PHN503,Country WA,Kojonup,54550,Durack,
2357,6396,30,212,11.8,232,88,144,0,25,5,0,14400,"92,159",19.1,11052,FRANKLAND,WA,117.096189,-34.372016,FRANKLAND LPO,Delivery Area,Updated 6-Feb-2020,50901,Albany,509,Western Australia - Wheat Belt,R3,-34.3028954,116.9381434,50901123103,50901123103,509011231,Kojonup,50901,Albany,509,Western Australia - Wheat Belt,3,3,5,5,O Connor,205.1897583,W2,PHN503,Country WA,Cranbrook,52240,Forrest,
2358,6397,25,75,25.3,193,84,109,0,19,6,0,3727,"23,851",4.7,11053,ROCKY GULLY,WA,116.955359,-34.543671,MOUNT BARKER LPO,Delivery Area,Updated 6-Feb-2020,50901,Albany,509,Western Australia - Wheat Belt,R3,-34.6318818,116.9381434,50901123416,50901123416,509011234,Plantagenet,50901,Albany,509,Western Australia - Wheat Belt,3,3,5,5,O Connor,,W2,PHN503,Country WA,Cranbrook,52240,Forrest,
2359,6398,98,490,18.8,502,356,146,0,92,6,0,13303,"85,140",17.7,11054,BROKE,WA,116.604043,-34.788611,WALPOLE LPO,Delivery Area,Updated 6-Feb-2020,50103,Manjimup,501,Bunbury,R3,-34.9349211,116.4193977,50103102004,50103102004,501031020,Pemberton,50103,Manjimup,501,Bunbury,4,3,6,5,O Connor,,W2,PHN503,Country WA,Manjimup,55180,Forrest,
2360,6401,1387,3716,34.8,19793,5560,2144,12089,1293,92,2,124400,"796,157",181,11057,BUCKLAND,WA,116.681727,-31.640292,NORTHAM POST SHOP,Delivery Area,Updated 3-Dec-2022,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-31.5348886,116.635414,50902124324,50902124324,509021243,Northam,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,2,2,4,4,Pearce,189.1295013,W2,PHN503,Country WA,Northam,56730,Pearce,Outer Metropolitan
2361,6403,44,76,55.3,213,162,51,0,42,2,0,3977,"25,454",5.8,11075,GRASS VALLEY,WA,116.797476,-31.643902,NORTHAM POST SHOP,Delivery Area,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-31.636653,116.8203511,50902124326,50902124326,509021243,Northam,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,2,2,5,5,Pearce,212.8133392,W2,PHN503,Country WA,Northam,56730,Pearce,Outer Metropolitan
2362,6405,48,149,30.9,240,217,23,0,46,2,0,11050,"70,718",16,11076,GREENWOODS VALLEY,WA,117.020194,-31.605825,MECKERING LPO,Delivery Area,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-31.5156822,116.909222,50902123710,50902123710,509021237,Cunderdin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,3,3,5,5,Durack,203.9807129,W2,PHN503,Country WA,Cunderdin,52450,Durack,Rural
2363,6407,174,447,34,1161,722,439,0,152,22,0,27477,"175,850",39.9,11080,CUNDERDIN,WA,117.222062,-31.651142,CUNDERDIN LPO,Delivery Area,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-31.6515688,117.237163,50902123708,50902123708,509021237,Cunderdin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,3,3,5,5,Durack,222.0004578,W2,PHN503,Country WA,Cunderdin,52450,Durack,Rural
